seq,changed?,dbpedia,umbel,status,source,comments,BLANK,hier1,hier2,hier3,hier4,hier5,hier6,hier7,,status,,source
270,,NobelPrize,NobelPrize,OK,web,,,,NobelPrize,,,,,,,,,
271,,Biomolecule,BiopolymerMolecule,OK,web+onto,,,Biomolecule,,,,,,,,,,
272,,BloodType,BloodType,OK,onto,,,,BloodType,,,,,,,,,
273,,Enzyme,Enzyme,OK,web+onto,,,,Enzyme,,,,,,,,,
274,,Gene,Gene_HereditaryUnit ,OK,web+onto,,,,Gene,,,,,,,,,
275,X,HumanGene,EukaryoticGene,NEED,web+onto,,,,,HumanGene,,,,,,,,
276,X,MouseGene,EukaryoticGene,NEED,web+onto,,,,,MouseGene,,,,,,,,
277,,Protein,ProteinMolecule,OK,web+onto+v105,,,,Protein,,,,,,,,,
278,,Blazon,HeraldicDevice,OK,web+onto,,,Blazon,,,,,,,,,,
279,,CareerStation,???,DROP,web+onto,no idea what this is,,CareerStation,,,,,,,,,,
280,,CelestialBody,CelestialBody,OK,web+onto,,,CelestialBody,,,,,,,,,,
281,,Asteroid,Asteroid,OK,web+onto,,,,Asteroid,,,,,,,,,
282,,Constellation,Constellation,OK,web+onto,,,,Constellation,,,,,,,,,
283,,Galaxy,Galaxy,OK,web+onto,,,,Galaxy,,,,,,,,,
284,,Planet,Planet,OK,web+onto+v105,,,,Planet,,,,,,,,,
285,,Star,Star,OK,web+onto,,,,Star,,,,,,,,,
286,,BrownDwarf,DwarfStar,NEED,web,,,,,BrownDwarf,,,,,,,,
287,,ChartsPlacements,Chart,OK,web,,,ChartsPlacements,,,,,,,,,,
288,,ChemicalSubstance,ChemicalSubstanceType,OK,web+onto,,,ChemicalSubstance,,,,,,,,,,
